Effective Start Date (mm/dd/yyyy),T,Cost
2013-11-01,0.0,8.239999000000001
2013-12-01,0.012804097311139566,8.149999
2015-01-01,0.18181818181818182,7.3
2015-02-01,0.19504908237302604,6.58
2015-03-01,0.2069995731967563,5.43
2015-04-01,0.22023047375160051,5.83
2015-05-01,0.2330345710627401,4.34
2015-06-01,0.2462654716175843,4.09
2015-07-01,0.25906956892872385,6.140000000000001
2015-08-01,0.27230046948356806,5.81
2015-09-01,0.2855313700384123,5.390000000000001
2015-10-01,0.29833546734955185,5.5
2015-11-01,0.31156636790439607,5.21
2015-12-01,0.32437046521553564,5.489999999999999
2016-01-01,0.33760136577037986,5.3
2016-02-01,0.3508322663252241,4.75
2016-03-01,0.363209560392659,4.52
2016-04-01,0.3764404609475032,3.65
2016-05-01,0.3892445582586428,3.3459999999999996
2016-06-01,0.402475458813487,3.611
2016-07-01,0.4152795561246266,4.9750000000000005
2016-08-01,0.4285104566794708,4.754
2016-09-01,0.441741357234315,3.971
2016-10-01,0.4545454545454546,4.456
2016-11-01,0.4677763551002988,3.7359999999999998
2016-12-01,0.4805804524114384,3.982
2017-01-01,0.4938113529662826,4.111
2017-02-01,0.5070422535211268,3.873
2017-03-01,0.5189927443448571,3.32
2017-04-01,0.5322236448997013,3.032
2017-05-01,0.5450277422108408,2.782
2017-06-01,0.558258642765685,2.823
2017-07-01,0.5710627400768246,3.469
2017-08-01,0.5842936406316688,3.7150000000000003
2017-09-01,0.597524541186513,3.3649999999999998
2017-10-01,0.6103286384976526,3.444
2017-11-01,0.6235595390524968,3.3329999999999997
2017-12-01,0.6363636363636364,3.7740000000000005
2018-01-01,0.6495945369184806,4.772
2018-02-01,0.6628254374733248,4.781
2018-03-01,0.6747759282970551,4.565
2018-04-01,0.6880068288518993,6.800000000000001
2018-05-01,0.7008109261630389,5.379
2018-06-01,0.7140418267178831,5.928
2018-07-01,0.7268459240290227,6.800000000000001
2018-08-01,0.7400768245838669,6.800000000000001
2018-09-01,0.7533077251387111,6.800000000000001
2018-10-01,0.7661118224498507,6.577
2018-11-01,0.7793427230046949,6.2219999999999995
2018-12-01,0.7921468203158344,6.800000000000001
2019-01-01,0.8053777208706786,6.800000000000001
2019-02-01,0.8186086214255228,6.800000000000001
2019-03-01,0.8305591122492532,5.991
2019-04-01,0.8437900128040974,6.800000000000001
2019-05-01,0.8565941101152369,6.800000000000001
2019-06-01,0.8698250106700811,6.800000000000001
2019-07-01,0.8826291079812207,6.800000000000001
2019-08-01,0.895860008536065,6.800000000000001
2019-09-01,0.9090909090909092,6.800000000000001
2019-10-01,0.9218950064020487,6.800000000000001
2019-11-01,0.9351259069568929,6.800000000000001
2019-12-01,0.9479300042680325,6.800000000000001
2019-12-06,0.9500640204865557,8.068999999999999
2020-01-01,0.9611609048228767,8.449
2020-02-01,0.974391805377721,8.722000000000001
2020-03-01,0.9867690994451558,7.104000000000001
2020-04-01,1.0,5.753
